Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
20.10.2009;17,210;17,210;0,000;17,210;EUR;-1
21.10.2009;17,250;200,000;17,200;17,280;EUR;3452
22.10.2009;17,010;17,010;0,000;17,010;EUR;-1
23.10.2009;16,940;50,000;16,940;17,080;EUR;854
26.10.2009;16,840;100,000;16,840;17,000;EUR;1700
27.10.2009;16,890;16,890;0,000;16,890;EUR;-1
28.10.2009;16,610;250,000;16,610;16,660;EUR;4165
29.10.2009;16,770;16,770;0,000;16,770;EUR;-1
30.10.2009;16,750;250,000;16,750;16,750;EUR;4187.5
03.11.2009;16,510;16,510;0,000;16,510;EUR;-1
05.11.2009;16,740;16,740;0,000;16,740;EUR;-1
06.11.2009;16,780;16,780;0,000;16,780;EUR;-1
10.11.2009;17,060;17,060;0,000;17,060;EUR;-1
11.11.2009;17,140;17,140;0,000;17,140;EUR;-1
12.11.2009;17,140;17,140;0,000;17,140;EUR;-1
13.11.2009;17,190;17,190;0,000;17,190;EUR;-1
16.11.2009;17,380;111,000;17,260;17,380;EUR;1915.86
17.11.2009;17,350;17,350;0,000;17,350;EUR;-1
18.11.2009;17,260;17,260;0,000;17,260;EUR;-1
19.11.2009;17,290;150,000;17,290;17,290;EUR;2593.5
24.11.2009;17,130;17,130;0,000;17,130;EUR;-1
25.11.2009;17,170;17,170;0,000;17,170;EUR;-1
27.11.2009;16,790;580,000;16,790;16,790;EUR;9738.2
30.11.2009;16,855;225,000;16,855;17,010;EUR;3827.25
02.12.2009;17,245;17,245;0,000;17,245;EUR;-1
03.12.2009;17,235;17,235;0,000;17,235;EUR;-1
04.12.2009;17,395;17,395;0,000;17,395;EUR;-1
07.12.2009;17,395;17,395;0,000;17,395;EUR;-1
08.12.2009;17,260;17,260;0,000;17,260;EUR;-1
09.12.2009;17,180;800,000;17,180;17,240;EUR;13792
10.12.2009;17,355;17,355;0,000;17,355;EUR;-1
11.12.2009;17,455;17,455;0,000;17,455;EUR;-1
14.12.2009;17,555;17,555;0,000;17,555;EUR;-1
15.12.2009;17,650;90,000;17,580;17,650;EUR;1582.2
16.12.2009;17,740;200,000;17,700;17,740;EUR;3540
18.12.2009;17,650;17,650;0,000;17,650;EUR;-1
21.12.2009;17,880;17,880;0,000;17,880;EUR;-1
22.12.2009;17,980;17,980;0,000;17,980;EUR;-1
23.12.2009;17,990;17,990;0,000;17,990;EUR;-1
28.12.2009;18,090;18,090;0,000;18,090;EUR;-1
29.12.2009;18,130;18,130;0,000;18,130;EUR;-1
30.12.2009;18,010;27,000;18,010;18,070;EUR;487.89
04.01.2010;18,170;275,000;18,170;18,170;EUR;4996.75
05.01.2010;18,280;18,280;0,000;18,280;EUR;-1
06.01.2010;18,330;1.500,000;18,330;18,340;EUR;27510
07.01.2010;18,370;18,370;0,000;18,370;EUR;-1
08.01.2010;18,410;18,410;0,000;18,410;EUR;-1
11.01.2010;18,290;18,290;0,000;18,290;EUR;-1
12.01.2010;18,220;18,220;0,000;18,220;EUR;-1
13.01.2010;18,260;90,000;18,140;18,260;EUR;1632.6
14.01.2010;18,400;18,400;0,000;18,400;EUR;-1
15.01.2010;18,320;102,000;18,320;18,450;EUR;1881.9
18.01.2010;18,420;18,420;0,000;18,420;EUR;-1
19.01.2010;18,600;110,000;18,400;18,600;EUR;2024
20.01.2010;18,460;150,000;18,460;18,600;EUR;2790
21.01.2010;18,330;18,330;0,000;18,330;EUR;-1
22.01.2010;18,120;18,120;0,000;18,120;EUR;-1
25.01.2010;17,900;150,000;17,900;18,020;EUR;2703
26.01.2010;18,000;222,000;17,820;18,000;EUR;3976.2
27.01.2010;17,860;190,000;17,860;17,870;EUR;3395.3
28.01.2010;17,770;17,770;0,000;17,770;EUR;-1
29.01.2010;17,940;17,940;0,000;17,940;EUR;-1
01.02.2010;17,950;17,950;0,000;17,950;EUR;-1
02.02.2010;18,100;18,100;0,000;18,100;EUR;-1
03.02.2010;18,080;18,080;0,000;18,080;EUR;-1
04.02.2010;18,040;150,000;18,040;18,040;EUR;2706
05.02.2010;17,630;230,000;17,630;17,720;EUR;4075.6
08.02.2010;17,740;80,000;17,700;17,740;EUR;1416
09.02.2010;17,730;17,730;0,000;17,730;EUR;-1
12.02.2010;17,900;17,900;0,000;17,900;EUR;-1
15.02.2010;18,020;18,020;0,000;18,020;EUR;-1
16.02.2010;18,100;550,000;18,100;18,140;EUR;9977
18.02.2010;18,470;18,470;0,000;18,470;EUR;-1
19.02.2010;18,620;18,620;0,000;18,620;EUR;-1
22.02.2010;18,520;250,000;18,520;18,570;EUR;4642.5
23.02.2010;18,410;18,410;0,000;18,410;EUR;-1
24.02.2010;18,440;18,440;0,000;18,440;EUR;-1
25.02.2010;18,260;95.055,000;18,260;18,460;EUR;1739714.2
26.02.2010;18,370;137,000;18,370;18,420;EUR;2523.54
01.03.2010;18,690;18,690;13,000;18,690;EUR;240.37
02.03.2010;18,790;18,790;0,000;18,790;EUR;-1
03.03.2010;18,730;18,730;0,000;18,730;EUR;-1
04.03.2010;18,810;18,810;0,000;18,810;EUR;-1
05.03.2010;19,000;340,000;18,950;19,000;EUR;6443
08.03.2010;19,050;50.000,000;19,020;19,050;EUR;951000
09.03.2010;19,130;19,130;0,000;19,130;EUR;-1
10.03.2010;19,140;19,140;0,000;19,140;EUR;-1
11.03.2010;19,080;860,000;19,080;19,130;EUR;16451.8
12.03.2010;19,070;19,070;0,000;19,070;EUR;-1
15.03.2010;19,060;250,000;19,060;19,090;EUR;4772.5
16.03.2010;19,170;50.000,000;19,170;19,190;EUR;959500
17.03.2010;19,350;135,000;19,260;19,350;EUR;2601.6
18.03.2010;19,410;19,410;0,000;19,410;EUR;-1
19.03.2010;19,430;19,430;0,000;19,430;EUR;-1
22.03.2010;19,460;19,460;0,000;19,460;EUR;-1
23.03.2010;19,590;19,590;0,000;19,590;EUR;-1
24.03.2010;19,750;19,750;0,000;19,750;EUR;-1
25.03.2010;19,910;19,910;0,000;19,910;EUR;-1
26.03.2010;19,700;2.700,000;19,700;19,750;EUR;53325
29.03.2010;19,750;355,000;19,700;19,750;EUR;7004
30.03.2010;19,770;19,770;0,000;19,770;EUR;-1
31.03.2010;19,670;19,670;0,000;19,670;EUR;-1
01.04.2010;19,820;20,000;19,810;19,820;EUR;396.2
06.04.2010;20,140;3.024,000;20,050;20,140;EUR;60780.95
07.04.2010;20,110;500,000;20,110;20,110;EUR;10055
08.04.2010;19,990;19,990;0,000;19,990;EUR;-1
09.04.2010;20,060;1.150,000;20,060;20,110;EUR;23126.5
12.04.2010;20,000;20,000;0,000;20,000;EUR;-1
13.04.2010;19,930;1.300,000;19,930;19,930;EUR;25909
14.04.2010;20,030;20,030;0,000;20,030;EUR;-1
15.04.2010;20,250;2.340,000;20,160;20,250;EUR;47273.8
19.04.2010;19,930;995,000;19,910;19,970;EUR;19840.15
20.04.2010;20,220;150,000;20,220;20,220;EUR;3033
21.04.2010;20,200;20,200;0,000;20,200;EUR;-1
22.04.2010;20,100;20,100;0,000;20,100;EUR;-1
23.04.2010;20,210;20,210;0,000;20,210;EUR;-1
26.04.2010;20,430;20,470;1,000;20,470;EUR;20.47
27.04.2010;20,360;100,000;20,360;20,360;EUR;2036
28.04.2010;19,990;39.735,000;19,870;20,050;EUR;793073.25
30.04.2010;20,090;151,000;20,090;20,230;EUR;3049.73
03.05.2010;20,130;20,130;12,000;20,130;EUR;241.32
04.05.2010;20,230;99,000;20,230;20,230;EUR;2002.77
05.05.2010;19,890;160,000;19,800;19,900;EUR;3175.5
06.05.2010;19,780;139,000;19,780;19,870;EUR;2761.93
10.05.2010;19,970;1.245,000;19,490;19,970;EUR;24587.7
11.05.2010;20,070;1.745,000;19,920;20,070;EUR;34760.4
12.05.2010;20,280;25.169,000;20,130;20,280;EUR;508202.92
13.05.2010;20,410;715,000;20,410;20,450;EUR;14612.35
17.05.2010;20,000;123,000;20,000;20,070;EUR;2468.61
18.05.2010;20,150;350,000;20,150;20,210;EUR;7073.5
19.05.2010;19,630;200,000;19,630;19,850;EUR;3970
21.05.2010;18,680;773,000;18,640;18,770;EUR;14451.53
24.05.2010;19,180;2.413,000;19,100;19,190;EUR;46223.3
27.05.2010;19,520;330,000;19,320;19,520;EUR;6391.3
28.05.2010;19,500;8.081,000;19,500;19,630;EUR;158553.41
31.05.2010;19,560;20.082,000;19,550;19,590;EUR;393403.1
01.06.2010;19,530;19,530;10,000;19,530;EUR;194.5
02.06.2010;19,540;19,540;0,000;19,540;EUR;-1
03.06.2010;19,860;50,000;19,860;19,860;EUR;993
04.06.2010;19,700;503,000;19,700;19,870;EUR;9994.61
07.06.2010;19,530;19,530;0,000;19,530;EUR;-1
08.06.2010;19,310;80,000;19,310;19,370;EUR;1549.6
10.06.2010;19,710;19,710;0,000;19,710;EUR;-1
11.06.2010;19,820;2.250,000;19,820;19,840;EUR;44640
14.06.2010;19,890;19,890;0,000;19,890;EUR;-1
15.06.2010;19,900;19,900;0,000;19,900;EUR;-1
16.06.2010;20,050;272,000;20,050;20,060;EUR;5456.32
17.06.2010;19,980;19,980;0,000;19,980;EUR;-1
18.06.2010;20,070;385,000;19,990;20,070;EUR;7716.55
21.06.2010;20,250;97,000;20,250;20,300;EUR;1969.1
22.06.2010;20,180;20,180;0,000;20,180;EUR;-1
23.06.2010;19,890;10.000,000;19,890;20,010;EUR;200100
25.06.2010;19,460;19,460;0,000;19,460;EUR;-1
28.06.2010;19,610;1.200,000;19,580;19,610;EUR;23507
30.06.2010;19,020;19,020;0,000;19,020;EUR;-1
01.07.2010;18,370;65,000;18,370;18,750;EUR;1206.75
02.07.2010;18,310;631,000;18,310;18,510;EUR;11645.93
05.07.2010;18,300;18,300;0,000;18,300;EUR;-1
06.07.2010;18,660;300,000;18,570;18,660;EUR;5571
07.07.2010;18,820;359,000;18,450;18,820;EUR;6640.51
08.07.2010;19,030;19,030;0,000;19,030;EUR;-1
09.07.2010;19,180;19,180;0,000;19,180;EUR;-1
12.07.2010;19,300;19,300;0,000;19,300;EUR;-1
13.07.2010;19,490;1.300,000;19,490;19,550;EUR;25415
14.07.2010;19,460;2.267,000;19,460;19,540;EUR;44246.5
15.07.2010;19,080;19,080;0,000;19,080;EUR;-1
16.07.2010;18,800;333,000;18,800;19,100;EUR;6360.3
19.07.2010;18,630;311,000;18,630;18,770;EUR;5829.58
20.07.2010;18,720;18,720;0,000;18,720;EUR;-1
21.07.2010;19,010;270,000;18,990;19,010;EUR;5127.3
22.07.2010;19,210;19,210;0,000;19,210;EUR;-1
23.07.2010;19,310;500,000;19,230;19,310;EUR;9615
26.07.2010;19,370;267,000;19,330;19,370;EUR;5161.11
27.07.2010;19,400;12.000,000;19,400;19,440;EUR;233280
28.07.2010;19,340;19,340;0,000;19,340;EUR;-1
29.07.2010;19,180;19,180;0,000;19,180;EUR;-1
30.07.2010;19,210;19,210;0,000;19,210;EUR;-1
02.08.2010;19,520;134.227,000;19,370;19,520;EUR;2616048.38
03.08.2010;19,470;270,000;19,420;19,470;EUR;5243.4
04.08.2010;19,550;14.777,000;19,490;19,570;EUR;288803.73
05.08.2010;19,500;19,500;0,000;19,500;EUR;-1
06.08.2010;19,200;651,000;19,200;19,570;EUR;12738.56
09.08.2010;19,500;300,000;19,460;19,500;EUR;5838
10.08.2010;19,470;260,000;19,440;19,470;EUR;5054.4
11.08.2010;19,250;53.913,000;19,250;19,280;EUR;1039442.64
12.08.2010;19,210;19,210;0,000;19,210;EUR;-1
13.08.2010;19,280;19,280;0,000;19,280;EUR;-1
16.08.2010;19,220;19,220;0,000;19,220;EUR;-1
17.08.2010;19,460;158.067,000;19,230;19,460;EUR;3058360.28
18.08.2010;19,340;19,340;0,000;19,340;EUR;-1
19.08.2010;19,150;16.295,000;19,150;19,550;EUR;317283.65
20.08.2010;19,160;19,160;0,000;19,160;EUR;-1
23.08.2010;19,300;3.690,000;19,300;19,370;EUR;71475.3
24.08.2010;19,050;310,000;19,000;19,160;EUR;5922
25.08.2010;18,880;170,000;18,880;18,990;EUR;3226.35
26.08.2010;18,990;26,000;18,990;19,010;EUR;494.26
27.08.2010;18,970;156,000;18,970;18,970;EUR;2959.32
30.08.2010;19,150;1.200,000;19,150;19,190;EUR;23028
31.08.2010;19,400;19,400;0,000;19,400;EUR;-1
01.09.2010;19,410;385,000;19,080;19,410;EUR;7354.41
02.09.2010;19,430;19,430;0,000;19,430;EUR;-1
