date,days,europe_eu_price,europe_eu_ndtr_l1,europe_eu_gdtr_l1,europe_eu_ndtr_l2,europe_eu_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,101.071,101.080840383759,101.082614081289,102.1398,102.14361
1975-01-03,365,101.578,101.596393728928,101.600010626887,103.16103,103.16856
1975-01-04,365,101.881,101.906940163427,101.912175423332,103.77104,103.78178
1975-01-05,365,102.132,102.164572261322,102.171537876549,104.2759,104.28969
1975-01-06,365,102.428,102.467889961312,102.476064598187,104.87499,104.89204
1975-01-07,365,102.284,102.329387408123,102.338911341877,104.57378,104.59328
1975-01-08,365,102.029,102.0810080904,102.091836226393,104.04767,104.06992
1975-01-09,365,103.85,103.913058564316,103.925970450613,107.76047,107.78745
1975-01-10,365,105.464,105.538078081899,105.553544564846,111.10775,111.13967
1975-01-11,365,105.97,106.053920576448,106.071273200652,112.16966,112.20585
1975-01-12,365,106.413,106.50586105794,106.524908426125,113.10155,113.14191
1975-01-13,365,106.724,106.824503675089,106.845375477795,113.75368,113.79772
1975-01-14,365,106.883,106.989897120651,107.012084762705,114.08055,114.12766
1975-01-15,365,107.851,107.969246071906,107.993743420463,116.14393,116.19622
1975-01-16,365,108.031,108.155169123473,108.18104229833,116.51823,116.57376
1975-01-17,365,107.829,107.959414992974,107.986769526074,116.07176,116.13
1975-01-18,365,107.998,108.134928666848,108.163773607463,116.42433,116.48579
1975-01-19,365,108.289,108.432752528611,108.463318975967,117.04093,117.10616
1975-01-20,365,108.661,108.813851411916,108.845886896717,117.83836,117.9078
1975-01-21,365,108.211,108.372898606878,108.406863640439,116.85788,116.9306
1975-01-22,365,108.954,109.126711041458,109.162700956088,118.45753,118.53566
1975-01-23,365,109.445,109.627517768229,109.665817622699,119.5188,119.60179
1975-01-24,365,111.435,111.631612123455,111.672638755592,123.86258,123.95311
1975-01-25,365,112.828,113.038034709492,113.081697512312,126.95597,127.05349
1975-01-26,365,114.059,114.282822791911,114.329028337258,129.72409,129.82857
1975-01-27,365,115.45,115.687221332285,115.736094552724,132.88397,132.99595
1975-01-28,365,116.84,117.091619872659,117.1434928584,136.0808,136.20055
1975-01-29,365,120.774,121.044581051463,121.10001560824,145.2389,145.37135
1975-01-30,365,120.166,120.446041834132,120.503249502695,143.77176,143.9079
1975-01-31,365,121.359,121.653240497106,121.713718314443,146.62455,146.76887
1975-02-01,365,121.699,122.002822097952,122.065069755548,147.43683,147.58636
1975-02-02,365,121.898,122.208407307383,122.272626136164,147.90416,148.05804
1975-02-03,365,122.064,122.382186084975,122.447637676298,148.29433,148.4524
1975-02-04,365,123.639,123.972218527536,124.041006499005,152.12072,152.28854
1975-02-05,365,125.449,125.799064312605,125.871487730927,156.58248,156.76101
1975-02-06,365,125.843,126.20445174386,126.278630327142,157.56965,157.75421
1975-02-07,365,126.344,126.716535296465,126.793370151068,158.82996,159.02134
1975-02-08,365,126.629,127.010600216284,127.089262527273,159.54942,159.74614
1975-02-09,365,126.85,127.239028226763,127.319733132308,160.10569,160.30735
1975-02-10,365,126.989,127.385626962601,127.467845365515,160.45663,160.66272
1975-02-11,365,127.026,127.428999369654,127.512677543728,160.55059,160.76057
1975-02-12,365,128.816,129.23618299686,129.323897543529,165.09275,165.3148
1975-02-13,365,130.414,130.851949734272,130.942837312328,169.20208,169.43595
1975-02-14,365,130.732,131.179555982212,131.272602889849,170.0326,170.2725
1975-02-15,365,130.873,131.328178763713,131.423039754519,170.40163,170.64628
1975-02-16,365,130.828,131.289721896126,131.385845651113,170.2852,170.53359
1975-02-17,365,130.694,131.16220701939,131.259983461908,169.93861,170.19047
1975-02-18,365,130.183,130.659376246957,130.75885933655,168.62674,168.88211
1975-02-19,365,131.264,131.756987294776,131.859738379333,171.45371,171.71977
1975-02-20,365,132.568,133.078399962989,133.184778313181,174.88666,175.16457
1975-02-21,365,132.884,133.403693015886,133.51221925924,175.73334,176.01762
1975-02-22,365,132.819,133.345863139815,133.455763923712,175.57008,175.85812
1975-02-23,365,132.581,133.114832784913,133.226289589304,174.94928,175.24068
1975-02-24,365,132.138,132.679952116863,132.792911866579,173.79169,174.08646
