date,days,europe_us_price,europe_us_ndtr_l1,europe_us_gdtr_l1,europe_us_ndtr_l2,europe_us_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.926,100.935312986941,100.937130254076,101.84419,101.84784
1975-01-03,365,102,102.018879644558,102.022606210493,104.00442,104.01197
1975-01-04,365,102.379,102.405119259161,102.410256420644,104.76498,104.77542
1975-01-05,365,102.692,102.724723131143,102.731181449616,105.39174,105.40491
1975-01-06,365,103.066,103.105992809838,103.113862044979,106.14825,106.16436
1975-01-07,365,103.51,103.557991592606,103.56739341206,107.05451,107.07385
1975-01-08,365,103.308,103.361719334048,103.372430562294,106.63048,106.65249
1975-01-09,365,104.663,104.727245413827,104.740127971632,109.42347,109.45023
1975-01-10,365,106.677,106.752711429759,106.768048158808,113.63106,113.66347
1975-01-11,365,107.151,107.235277730956,107.252261495458,114.63244,114.66848
1975-01-12,365,107.543,107.635068060779,107.653564641893,115.46099,115.5004
1975-01-13,365,107.789,107.887344580936,107.907156792224,115.97574,116.01805
1975-01-14,365,107.591,107.695125473994,107.716279019833,115.53647,115.58158
1975-01-15,365,108.316,108.430482981267,108.453611853234,117.08805,117.13769
1975-01-16,365,109.178,109.303374216552,109.328608418055,118.94738,119.00197
1975-01-17,365,109.112,109.242488480686,109.268986544971,118.78865,118.84593
1975-01-18,365,109.293,109.42931946941,109.457102670013,119.16877,119.22895
1975-01-19,365,109.595,109.738340112176,109.767561798274,119.81557,119.87902
1975-01-20,365,109.98,110.131343021438,110.162126255089,120.64704,120.71413
1975-01-21,365,110.451,110.61132785107,110.643841279957,121.67139,121.74254
1975-01-22,365,111.87,112.042886525909,112.077980278327,124.78983,124.86756
1975-01-23,365,112.89,113.074880046013,113.112335373914,127.06076,127.14444
1975-01-24,365,115.139,115.33862955867,115.379242715784,132.12008,132.2125
1975-01-25,365,116.699,116.912321966924,116.955758476991,135.69609,135.79622
1975-01-26,365,118.063,118.28983862023,118.336028471571,138.86368,138.97134
1975-01-27,365,119.628,119.869096069987,119.918216075745,142.54006,142.65602
1975-01-28,365,121.508,121.764418926031,121.816750721354,147.01555,147.14094
1975-01-29,365,123.398,123.670115920136,123.725737763286,151.58634,151.7216
1975-01-30,365,123.775,124.055816722918,124.113185407618,152.49905,152.63898
1975-01-31,365,124.569,124.862619069371,124.922442611584,154.44979,154.59663
1975-02-01,365,125.148,125.452827105419,125.514799087454,155.87667,156.0295
1975-02-02,365,125.711,126.026935122553,126.091044828424,157.2698,157.4286
1975-02-03,365,126.13,126.455362898608,126.52134864812,158.30537,158.46934
1975-02-04,365,125.486,125.820055508876,125.887716010283,156.68143,156.84876
1975-02-05,365,127.223,127.573670855781,127.644771934857,161.02346,161.20164
1975-02-06,365,127.562,127.921244690693,127.994096691823,161.86863,162.05168
1975-02-07,365,128.604,128.977983344764,129.053711745192,164.51075,164.70257
1975-02-08,365,129.128,129.513023483832,129.590896043829,165.8429,166.04093
1975-02-09,365,129.538,129.932645305485,130.012442267897,166.88456,167.08811
1975-02-10,365,129.911,130.314831768474,130.396480054255,167.83212,168.041
1975-02-11,365,130.254,130.666659804188,130.750126215386,168.70354,168.9176
1975-02-12,365,132.016,132.446684972329,132.533860058483,173.26545,173.49196
1975-02-13,365,134.351,134.802153124208,134.893637076729,179.39301,179.63474
1975-02-14,365,135.128,135.593362095698,135.687573552493,181.46258,181.71293
1975-02-15,365,135.381,135.854412402387,135.950362191063,182.12457,182.38002
1975-02-16,365,135.424,135.903806166709,136.00132775143,182.22016,182.47986
1975-02-17,365,135.331,135.816977043721,135.916027284536,181.95045,182.21404
1975-02-18,365,134.54,135.034750949917,135.135460152906,179.81814,180.0846
1975-02-19,365,135.752,136.263756589588,136.367830089951,183.05485,183.33264
1975-02-20,365,137.111,137.64061380156,137.748268889381,186.71772,187.00787
1975-02-21,365,138.043,138.58858484533,138.6993221675,189.25265,189.55311
1975-02-22,365,138.235,138.788218646299,138.900692849379,189.76039,190.06594
1975-02-23,365,138.169,138.728482911784,138.842509193619,189.55941,189.86904
1975-02-24,365,137.966,138.531937226332,138.647519335076,188.98544,189.29883
1975-02-25,365,136.879,137.453187707242,137.570240542185,186.00564,186.32056
1975-02-26,365,138.251,138.843788641654,138.964575356882,189.73065,190.05878
1975-02-27,365,139.916,140.529047264895,140.653974297503,194.29955,194.64289
1975-02-28,365,141.296,141.928220936651,142.0569856815,198.13047,198.48778
1975-03-01,365,141.548,142.188764599388,142.319396197205,198.81901,199.18211
1975-03-02,365,141.799,142.448319100123,142.580820892585,199.50584,199.87477
1975-03-03,365,142.049,142.706884438857,142.841266519833,200.19101,200.56578
1975-03-04,365,142.299,142.965473903494,143.101732403664,200.87809,201.25875
1975-03-05,365,141.534,142.208805182373,142.346641300024,198.71818,199.10122
1975-03-06,365,142.65,143.343197074525,143.484656078011,201.85153,202.24764
1975-03-07,365,143.041,143.744780763099,143.888403518676,202.94449,203.34773
1975-03-08,365,143.24,143.951893593833,144.097350162232,203.4911,203.90003
1975-03-09,365,143.336,144.055080078695,144.202252248329,203.74449,204.1585
1975-03-10,365,143.201,143.926472934598,144.075229974664,203.34288,203.76094
1975-03-11,365,142.152,142.885182900075,143.035304319021,200.36432,200.78315
1975-03-12,365,141.106,141.846723638109,141.998180823891,197.42417,197.84366
1975-03-13,365,140.778,141.525430952954,141.678423924482,196.49418,196.91694
1975-03-14,365,141.31,142.070290334327,142.225824292652,197.97198,198.40333
1975-03-15,365,141.577,142.346266532677,142.503737845798,198.70566,199.14318
1975-03-16,365,141.725,142.501886645573,142.661131488107,199.10455,199.54743
1975-03-17,365,141.612,142.395153653048,142.555966066444,198.77033,199.21717
1975-03-18,365,140.573,141.363296846391,141.525358438531,195.85404,196.30107
1975-03-19,365,139.679,140.476653846698,140.640044521266,193.36477,193.81264
1975-03-20,365,138.361,139.164397759572,139.328707675307,189.71742,190.16359
1975-03-21,365,137.613,138.423668218016,138.589349183704,187.66343,188.11089
1975-03-22,365,136.552,137.36906068533,137.535851618106,184.76993,185.21691
1975-03-23,365,135.112,135.933665991999,136.101131931051,180.87504,181.31912
1975-03-24,365,134.109,134.936896289501,135.10543989835,178.18885,178.63249
1975-03-25,365,134.498,135.336678577357,135.507418264185,179.2131,179.66375
1975-03-26,365,136.294,137.156752743598,137.332448525831,184.00052,184.47027
1975-03-27,365,136.819,137.694905124084,137.87319123071,185.41112,185.88958
1975-03-28,365,136.641,137.522831145704,137.702576792534,184.91303,185.39475
1975-03-29,365,136.498,137.385739725904,137.566952223703,184.50979,184.9949
1975-03-30,365,136.396,137.289678424238,137.472387746631,184.21728,184.70597
1975-03-31,365,136.246,137.145566366819,137.32973414384,183.79779,184.28981
1975-04-01,365,135.537,136.443180926255,136.628599822512,181.88206,182.37485
1975-04-02,365,135.666,136.579524443078,136.766661933379,182.21244,182.71022
1975-04-03,365,134.815,135.734715758267,135.922961787781,179.92582,180.42341
1975-04-04,365,133.822,134.74723452822,134.936412225766,177.2766,177.77297
1975-04-05,365,133.711,134.641997341647,134.83262425168,176.96889,177.4686
1975-04-06,365,133.727,134.664297717497,134.856479753107,176.99673,177.50054
1975-04-07,365,133.923,134.868418936324,135.062421670329,177.50196,178.01123
1975-04-08,365,134.472,135.43127624094,135.628012449155,178.95283,179.47131
1975-04-09,365,136.43,137.416202698756,137.618532233725,184.16765,184.70843
1975-04-10,365,137.405,138.41071260839,138.616884630865,186.80105,187.35594
1975-04-11,365,138.1,139.122129178445,139.33150983582,188.68814,189.25443
1975-04-12,365,138.721,139.758522233788,139.970915599533,190.38086,190.95783
