date,days,north_america_eu_price,north_america_eu_ndtr_l1,north_america_eu_gdtr_l1,north_america_eu_ndtr_l2,north_america_eu_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.718,100.722994014375,100.725018334818,101.4223,101.42653
1975-01-03,365,100.869,100.877253513132,100.880325027471,101.71088,101.7172
1975-01-04,365,100.815,100.824498100137,100.82855612992,101.58324,101.59128
1975-01-05,365,100.709,100.720545450903,100.725272103924,101.3522,101.36208
1975-01-06,365,100.646,100.659776557453,100.665382594992,101.20919,101.22079
1975-01-07,365,100.151,100.168950879591,100.176369528421,100.20358,100.2184
1975-01-08,365,99.549,99.5703884089457,99.579504591952,98.98723,99.0054
1975-01-09,365,100.972,101.000349476787,101.012031193298,101.80777,101.83125
1975-01-10,365,102.188,102.221514859441,102.235705820702,104.24598,104.27477
1975-01-11,365,102.317,102.353069496909,102.368173293847,104.49024,104.52111
1975-01-12,365,102.384,102.422074467493,102.438213567004,104.60703,104.63972
1975-01-13,365,102.322,102.362195960761,102.379085365389,104.46035,104.49479
1975-01-14,365,102.112,102.154735855651,102.172771082503,104.01256,104.04918
1975-01-15,365,102.677,102.724805951345,102.745020415725,105.14868,105.18976
1975-01-16,365,102.487,102.538269934089,102.559515199501,104.7422,104.78537
1975-01-17,365,101.935,101.989791716287,102.012642776843,103.5973,103.64356
1975-01-18,365,101.736,101.793461445142,101.817494334605,103.17504,103.22339
1975-01-19,365,101.65,101.709765093724,101.73451183706,102.98187,103.03196
1975-01-20,365,101.642,101.703087193345,101.72867514763,102.94482,102.99657
1975-01-21,365,100.866,100.931789699561,100.958993450219,101.35919,101.41398
1975-01-22,365,101.204,101.273475602291,101.302343050152,102.02165,102.0799
1975-01-23,365,101.305,101.376315268129,101.40613461436,102.20501,102.26521
1975-01-24,365,102.79,102.868603406174,102.901595953905,105.19005,105.25697
1975-01-25,365,103.714,103.799280122339,103.834704955349,107.06838,107.14115
1975-01-26,365,104.481,104.57146800284,104.609208265767,108.63602,108.71442
1975-01-27,365,105.386,105.483446597944,105.523792122499,110.50538,110.58991
1975-01-28,365,106.285,106.388747292668,106.431777982485,112.37621,112.46702
1975-01-29,365,109.481,109.594584667986,109.64195716885,119.12241,119.22486
1975-01-30,365,108.548,108.665466128576,108.714431087731,117.07539,117.1806
1975-01-31,365,109.241,109.365087491625,109.416610203041,118.55709,118.66844
1975-02-01,365,109.264,109.389350529669,109.441733344499,118.58375,118.69707
1975-02-02,365,109.156,109.284284897038,109.337688011186,118.33002,118.44524
1975-02-03,365,109.021,109.150949486136,109.205474307147,118.01587,118.13304
1975-02-04,365,110.137,110.274617523256,110.33195536709,120.42208,120.54699
1975-02-05,365,111.461,111.606636052203,111.667288400976,123.31213,123.44566
1975-02-06,365,111.52,111.667627542332,111.729208062752,123.42817,123.5639
1975-02-07,365,111.674,111.824558201241,111.887559984672,123.759,123.89755
1975-02-08,365,111.635,111.787607152477,111.851524771671,123.66121,123.8017
1975-02-09,365,111.538,111.693003563773,111.75788397169,123.43626,123.57871
1975-02-10,365,111.369,111.526946441013,111.592680283917,123.05344,123.19792
1975-02-11,365,111.112,111.272741033249,111.339672485592,122.47911,122.6258
1975-02-12,365,112.387,112.554897906033,112.625013005667,125.29058,125.44631
1975-02-13,365,113.488,113.664319755678,113.737790533905,127.74495,127.90936
1975-02-14,365,113.47,113.648292794768,113.722564387566,127.69412,127.86056
1975-02-15,365,113.297,113.477115948384,113.552539086787,127.29528,127.46378
1975-02-16,365,112.963,113.14655987962,113.223146787664,126.53951,126.71034
1975-02-17,365,112.552,112.738985359816,112.817116218637,125.61434,125.78759
1975-02-18,365,111.817,112.007310074948,112.086768732601,123.97481,124.15033
1975-02-19,365,112.453,112.650169284775,112.732357337353,125.39192,125.57434
1975-02-20,365,113.277,113.481122688612,113.566242618491,127.23557,127.426
1975-02-21,365,113.252,113.458417827323,113.544418475406,127.17625,127.36869
1975-02-22,365,112.901,113.110276620893,113.1977698771,126.38616,126.58082
1975-02-23,365,112.405,112.617892766276,112.706726657683,125.27514,125.47209
1975-02-24,365,111.736,111.952773888519,112.043120446431,123.78327,123.98227
1975-02-25,365,109.876,110.0945368097,110.18578436224,119.6534,119.85115
1975-02-26,365,110.832,111.058380431081,111.15289842384,121.72687,121.93331
1975-02-27,365,111.26,111.491553569004,111.588112440015,122.65274,122.86478
1975-02-28,365,112.236,112.475876084881,112.575781799172,124.79107,125.01221
1975-03-01,365,112.497,112.740543536572,112.84198559099,125.35061,125.57588
1975-03-02,365,112.62,112.866310660378,112.969123912917,125.60287,125.83092
1975-03-03,365,112.872,113.122074244896,113.226445786037,126.14548,126.37761
1975-03-04,365,113.86,114.118416981455,114.226042293159,128.34277,128.58451
1975-03-05,365,113.715,113.975064719985,114.083677824894,127.99838,128.24193
1975-03-06,365,114.488,114.756379064337,114.868331899538,129.7303,129.9825
1975-03-07,365,115.953,116.230636871359,116.3465369399,133.04138,133.30616
1975-03-08,365,116.718,117.003492541898,117.122562864952,134.78823,135.062
1975-03-09,365,117.318,117.610291089678,117.732370025808,136.16418,136.44585
1975-03-10,365,117.546,117.84245942619,117.966091372104,136.67929,136.96516
1975-03-11,365,116.088,116.385786756833,116.510218013039,133.27646,133.56077
1975-03-12,365,115.075,115.375865622837,115.501485818114,130.94122,131.22564
1975-03-13,365,115.511,115.817274837894,115.945327983881,131.92259,132.21343
1975-03-14,365,116.078,116.391351673816,116.522145161004,133.21153,133.51012
1975-03-15,365,116.426,116.744167410511,116.876914370691,134.00038,134.30458
1975-03-16,365,116.674,116.996369448161,117.130937245438,134.55988,134.86856
1975-03-17,365,116.689,117.013286795788,117.148701082833,134.57919,134.89012
1975-03-18,365,115.745,116.072148035696,116.208740315537,132.39445,132.70541
1975-03-19,365,114.922,115.252324465824,115.390081180737,130.50411,130.8155
1975-03-20,365,114.308,114.641073984458,114.78027401988,129.102,129.41449
1975-03-21,365,114.03,114.365499295482,114.50544207847,128.46517,128.77922
1975-03-22,365,113.499,113.837277375496,113.978363646053,127.26365,127.57892
1975-03-23,365,112.656,112.997197507808,113.139656751908,125.37201,125.68731
1975-03-24,365,112.161,112.50481365319,112.648359763386,124.26632,124.58281
1975-03-25,365,112.778,113.128752145276,113.27516945432,125.62967,125.95448
1975-03-26,365,114.473,114.835623482169,114.987095840978,129.40798,129.7487
1975-03-27,365,115.355,115.726232796059,115.881124400153,131.40956,131.76112
1975-03-28,365,115.414,115.787446882867,115.943551600141,131.54259,131.89672
1975-03-29,365,115.503,115.879824504778,116.037192400123,131.74236,132.09933
1975-03-30,365,115.624,116.003365661791,116.161793030993,132.00782,132.36793
1975-03-31,365,115.702,116.084390853057,116.244014221221,132.17349,132.53633
1975-04-01,365,114.992,115.377423799592,115.538028569326,130.54368,130.90674
1975-04-02,365,114.507,114.894389005505,115.056374806818,129.43346,129.79749
1975-04-03,365,114.336,114.725438125914,114.888125889778,129.03849,129.404
1975-04-04,365,113.919,114.311185705732,114.474989785794,128.09706,128.46366
1975-04-05,365,113.723,114.11708140138,114.2818714964,127.65267,128.02069
1975-04-06,365,113.632,114.028710519696,114.194321154954,127.44519,127.81486
1975-04-07,365,113.695,114.094376540091,114.261062429738,127.5826,127.95482
1975-04-08,365,114.142,114.547138185793,114.716324205259,128.58079,128.96019
1975-04-09,365,115.443,115.859123013603,116.033132094433,131.5081,131.90209
1975-04-10,365,116.81,117.238109441883,117.41668125839,134.62241,135.03187
1975-04-11,365,117.316,117.750526997638,117.932086311948,135.78651,136.20423
1975-04-12,365,117.856,118.297669635364,118.482003963873,137.03512,137.4616
1975-04-13,365,118.452,118.900906636275,119.088512126357,138.41998,138.85594
1975-04-14,365,118.994,119.450497837473,119.640967469338,139.68655,140.13149
1975-04-15,365,119.584,120.047724728043,120.241385173286,141.06758,141.52214
1975-04-16,365,120.043,120.512951787785,120.709335404089,142.14365,142.60633
1975-04-17,365,121.155,121.635952034868,121.836831540455,144.77254,145.25012
1975-04-18,365,120.311,120.794091393745,120.996094493464,142.74596,143.22217
1975-04-19,365,120.409,120.895372882827,121.098363443038,142.96069,143.44013
1975-04-20,365,120.758,121.24885640956,121.454401498253,143.77103,144.25722
1975-04-21,365,121.086,121.582751428514,121.790391794122,144.53522,145.02793
1975-04-22,365,121.379,121.880363188742,122.089839338779,145.21469,145.71342
1975-04-23,365,120.493,120.995986581872,121.206469082041,143.07981,143.57659
1975-04-24,365,119.766,120.271434390742,120.482719592751,141.33874,141.83454
1975-04-25,365,120.339,120.852411723722,121.066896073938,142.67821,143.18392
1975-04-26,365,120.561,121.078347353214,121.294526961699,143.18546,143.69616
1975-04-27,365,120.626,121.146239340402,121.363552158433,143.3194,143.833
1975-04-28,365,120.52,121.042731884526,121.261029439754,143.04801,143.56319
1975-04-29,365,119.813,120.337323007815,120.556312633387,141.35236,141.86646
1975-04-30,365,120.725,121.259095856808,121.482569868979,143.49306,144.02103
1975-05-01,365,121.837,122.38231870057,122.610573543556,146.12704,146.6711
1975-05-02,365,123.307,123.86659335816,124.100198193672,149.64713,150.21114
1975-05-03,365,123.52,124.084070313839,124.319454700946,150.14858,150.71773
1975-05-04,365,123.555,124.120798765924,124.357520066792,150.21447,150.78635
1975-05-05,365,123.451,124.018849486803,124.256266193641,149.94452,150.51805
1975-05-06,365,121.815,122.38209610389,122.619201693147,145.96546,146.52997
1975-05-07,365,122.262,122.835970732989,123.075732314197,147.02619,147.5995
1975-05-08,365,123.01,123.592799442618,123.83653209291,148.81586,149.40211
1975-05-09,365,123.806,124.398822018373,124.646563078118,150.73455,151.33451
1975-05-10,365,124.035,124.632548531641,124.882314577259,151.27862,151.88413
1975-05-11,365,124.203,124.804393168063,125.055638876412,151.67243,152.28252
1975-05-12,365,124.438,125.044129791672,125.297480834088,152.23236,152.84814
1975-05-13,365,123.861,124.468717375674,124.722947578916,150.80793,151.42287
1975-05-14,365,124.144,124.756312285333,125.012498128453,151.48049,152.10194
1975-05-15,365,124.473,125.091097691005,125.34975726985,152.26834,152.89711
1975-05-16,365,123.731,124.350741135644,124.610020326905,150.4393,151.06589
1975-05-17,365,123.745,124.367213289912,124.627530395195,150.45335,151.08246
1975-05-18,365,123.895,124.52102759531,124.782837087847,150.79937,151.43281
1975-05-19,365,123.917,124.545958423392,124.808975305728,150.83382,151.46989
