date,days,north_america_us_price,north_america_us_ndtr_l1,north_america_us_gdtr_l1,north_america_us_ndtr_l2,north_america_us_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.573,100.577639152834,100.579562935786,101.13036,101.1342
1975-01-03,365,101.289,101.298544988409,101.302489855893,102.55538,102.56332
1975-01-04,365,101.308,101.319299675389,101.32397094097,102.57235,102.58176
1975-01-05,365,101.261,101.274176490463,101.279641906675,102.45593,102.46694
1975-01-06,365,101.273,101.287901364111,101.294075490402,102.46012,102.47258
1975-01-07,365,101.352,101.36917026672,101.376287979464,102.60252,102.61688
1975-01-08,365,100.797,100.818303747126,100.827153445861,101.47145,101.48923
1975-01-09,365,101.763,101.789612446543,101.800655405086,103.40491,103.42729
1975-01-10,365,103.363,103.395635687989,103.409209968202,106.64588,106.67373
1975-01-11,365,103.457,103.492097812701,103.506677413479,106.8221,106.85207
1975-01-12,365,103.471,103.507861636536,103.523186373493,106.83187,106.86334
1975-01-13,365,103.343,103.382641184557,103.399140317696,106.55047,106.58434
1975-01-14,365,102.788,102.831729016825,102.849936813884,105.39258,105.42979
1975-01-15,365,103.119,103.166854825758,103.186774774334,106.05718,106.09801
1975-01-16,365,103.576,103.628532490709,103.650392518864,106.9846,107.02958
1975-01-17,365,103.148,103.204423243758,103.22791863898,106.08694,106.13511
1975-01-18,365,102.956,103.015668190985,103.040532851294,105.67708,105.72798
1975-01-19,365,102.877,102.938872805951,102.964671891473,105.49782,105.55058
1975-01-20,365,102.876,102.939580352098,102.966088915766,105.47734,105.53155
1975-01-21,365,102.954,103.019905859844,103.047373442018,105.61968,105.67588
1975-01-22,365,103.913,103.984709699522,104.01458657219,107.57269,107.63435
1975-01-23,365,104.494,104.570907878329,104.602940074607,108.76313,108.82958
1975-01-24,365,106.207,106.290982993862,106.325972644534,112.31869,112.39239
1975-01-25,365,107.273,107.363234943589,107.400835730832,114.5616,114.64152
1975-01-26,365,108.148,108.244274449086,108.284381727534,116.41812,116.50403
1975-01-27,365,109.2,109.302695012842,109.345475852119,118.67017,118.76265
1975-01-28,365,110.531,110.640702817,110.686400924452,121.55059,121.65052
1975-01-29,365,111.86,111.976823831432,112.025501421257,124.46254,124.5702
1975-01-30,365,111.808,111.926854335801,111.976388362469,124.32637,124.43585
1975-01-31,365,112.131,112.254349297578,112.305758730296,125.02903,125.14298
1975-02-01,365,112.36,112.487215668206,112.540226090615,125.52272,125.64047
1975-02-02,365,112.571,112.701944511797,112.756510395848,125.97682,126.09823
1975-02-03,365,112.652,112.785495821331,112.841111762148,126.13849,126.26231
1975-02-04,365,111.783,111.920395124201,111.977648636287,124.17882,124.30533
1975-02-05,365,113.038,113.182748746787,113.243063869862,126.96172,127.09644
1975-02-06,365,113.043,113.189641615704,113.25075091315,126.95368,127.09016
1975-02-07,365,113.672,113.824683302725,113.888286444564,128.35483,128.49766
1975-02-08,365,113.838,113.99409115279,114.059106842064,128.71328,128.85948
1975-02-09,365,113.902,114.060493978288,114.126509546261,128.83956,128.98806
1975-02-10,365,113.932,114.09256940362,114.159445956042,128.88756,129.03803
1975-02-11,365,113.936,114.098480837558,114.166148606347,128.8761,129.02834
1975-02-12,365,115.179,115.349140928661,115.420008194915,131.677,131.8381
1975-02-13,365,116.915,117.094018199456,117.168597362266,135.63591,135.80789
1975-02-14,365,117.286,117.47009038864,117.546786097988,136.48176,136.65915
1975-02-15,365,117.199,117.385489171919,117.463194204747,136.2596,136.43919
1975-02-16,365,116.931,117.121133193736,117.200392628589,135.62036,135.80311
1975-02-17,365,116.545,116.738951762014,116.81981501563,134.70985,134.8957
1975-02-18,365,115.559,115.75648209273,115.838820383706,132.41744,132.60511
1975-02-19,365,116.298,116.502243339727,116.587385411484,134.09877,134.29402
1975-02-20,365,117.159,117.370425286208,117.458548120672,136.07272,136.27626
1975-02-21,365,117.649,117.866301014933,117.95686415032,137.19756,137.40758
1975-02-22,365,117.504,117.724244007864,117.816058333749,136.84172,137.05436
1975-02-23,365,117.142,117.365959376656,117.459350683103,135.98372,136.19934
1975-02-24,365,116.664,116.891690433497,116.986653951068,134.86033,135.07869
1975-02-25,365,115.44,115.670648376269,115.766846835663,132.0188,132.2377
1975-02-26,365,116.295,116.53298736102,116.632234857356,133.96181,134.18927
1975-02-27,365,117.392,117.638113578503,117.740742865581,136.47856,136.71591
1975-02-28,365,118.243,118.496610511595,118.60235006582,138.44579,138.69205
1975-03-01,365,118.652,118.911202121665,119.019268708875,139.38947,139.64198
1975-03-02,365,119.061,119.325816555804,119.436224972044,140.33624,140.59507
1975-03-03,365,119.471,119.741465681083,119.854228328385,141.28851,141.55373
1975-03-04,365,119.881,120.157145238454,120.272275574859,142.24447,142.51615
1975-03-05,365,119.437,119.716785254191,119.833455755454,141.18024,141.45453
1975-03-06,365,120.579,120.867513962054,120.98781641259,143.87015,144.1556
1975-03-07,365,121.112,121.407021703179,121.530028845222,145.12957,145.42268
1975-03-08,365,121.483,121.783535157702,121.908838312826,146.00458,146.30405
1975-03-09,365,121.767,122.0723813622,122.199710764024,146.67186,146.97684
1975-03-10,365,121.857,122.165290540131,122.29381747912,146.87009,147.17814
1975-03-11,365,121.169,121.480667366656,121.610623669384,145.19998,145.50969
1975-03-12,365,120.48,120.794994285994,120.926345146363,143.54294,143.85422
1975-03-13,365,120.402,120.719264024192,120.851575169847,143.33921,143.65253
1975-03-14,365,121.058,121.382531476864,121.517858738353,144.89079,145.21295
1975-03-15,365,121.489,121.819566755039,121.957405879961,145.91038,146.23964
1975-03-16,365,121.821,122.156891282643,122.296952488618,146.69451,147.02996
1975-03-17,365,121.927,122.266005549749,122.407361253101,146.93227,147.27107
1975-03-18,365,121.237,121.579214089694,121.721922776565,145.25752,145.59761
1975-03-19,365,120.669,121.014554224245,121.158661890166,143.88637,144.2282
1975-03-20,365,119.732,120.080167260866,120.225375832776,141.64072,141.98248
1975-03-21,365,119.286,119.637540085723,119.784173406153,140.57296,140.91678
1975-03-22,365,118.566,118.920476301807,119.068356687587,138.86453,139.20915
1975-03-23,365,117.514,117.870637588092,118.019420129833,136.38962,136.73327
1975-03-24,365,116.839,117.19854482864,117.348546907423,134.81097,135.15545
1975-03-25,365,117.373,117.739307893575,117.892132474215,136.03314,136.38563
1975-03-26,365,119.137,119.515248722632,119.673074939581,140.11399,140.48329
1975-03-27,365,119.796,120.181848489416,120.342825828591,141.65371,142.03241
1975-03-28,365,119.84,120.22822699815,120.390195822098,141.73868,142.11979
1975-03-29,365,119.916,120.307000469187,120.470113484209,141.90004,142.28405
1975-03-30,365,120.027,120.421204503737,120.585644854211,142.14503,142.53247
1975-03-31,365,120.096,120.49289490528,120.658452314781,142.29116,142.6814
1975-04-01,365,119.347,119.746547840505,119.91321666709,140.50492,140.89533
1975-04-02,365,119.337,119.738498552079,119.905987335189,140.46255,140.8548
1975-04-03,365,118.464,118.867760309841,119.036210300199,138.39675,138.78834
1975-04-04,365,117.469,117.874631800213,118.043866933895,136.06218,136.45228
1975-04-05,365,117.25,117.658693280952,117.829244183695,135.54207,135.93442
1975-04-06,365,117.143,117.55409817956,117.725669739916,135.27955,135.67385
1975-04-07,365,117.193,117.606525066648,117.779102841792,135.37828,135.77501
1975-04-08,365,117.552,117.971261301433,118.146231264008,136.19658,136.6
1975-04-09,365,119.142,119.573252290643,119.753243402451,139.87418,140.29462
1975-04-10,365,119.871,120.310522983876,120.493952096428,141.57662,142.00763
1975-04-11,365,120.353,120.799338467177,120.985609365904,142.70403,143.1434
1975-04-12,365,120.769,121.221690260795,121.410603793424,143.67868,144.12578
1975-04-13,365,121.128,121.586586264064,121.777964206343,144.5203,144.97451
1975-04-14,365,121.552,122.017048210292,122.211122198595,145.51983,145.98199
1975-04-15,365,122.403,122.877188476371,123.075074385938,147.54745,148.02187
1975-04-16,365,123.131,123.613766839503,123.815212508186,149.29114,149.7769
1975-04-17,365,124.35,124.843824404088,125.049898378667,152.23719,152.73886
1975-04-18,365,123.848,124.34476091369,124.552077680519,150.99454,151.49717
1975-04-19,365,123.863,124.361939829819,124.570160415301,151.01094,151.51576
1975-04-20,365,124.052,124.555236872375,124.76525832635,151.45508,151.96496
1975-04-21,365,124.308,124.816298576562,125.028436103647,152.06462,152.58064
1975-04-22,365,124.666,125.180388129384,125.395069194362,152.92724,153.45089
1975-04-23,365,124.286,124.803486665684,125.019488786541,151.98072,152.50595
1975-04-24,365,123.784,124.304331879009,124.521536417995,150.73966,151.26565
1975-04-25,365,123.896,124.419707549114,124.638321791796,150.99465,151.52445
1975-04-26,365,123.85,124.375733175675,124.595202871167,150.86301,151.39462
1975-04-27,365,123.696,124.224485676717,124.445129966521,150.47122,151.00495
1975-04-28,365,123.496,124.02743787878,124.249354893421,149.96894,150.50482
1975-04-29,365,123.24,123.774516759296,123.99773903115,149.3326,149.87049
1975-04-30,365,124.458,125.004087410403,125.232149020795,152.26853,152.82332
1975-05-01,365,125.491,126.047809273556,126.280339446288,154.78582,155.35605
1975-05-02,365,126.893,127.462559206587,127.700429778452,158.23483,158.82448
1975-05-03,365,127.173,127.748050272904,127.988223650324,158.91748,159.51407
1975-05-04,365,127.351,127.930368938146,128.172336488093,159.3448,159.94662
1975-05-05,365,127.416,127.998209680007,128.241356857191,159.48779,160.09277
1975-05-06,365,125.99,126.571606447008,126.814513714569,155.90689,156.50445
1975-05-07,365,126.657,127.247457569865,127.494039563193,157.54748,158.15721
1975-05-08,365,127.57,128.170881371976,128.421814273886,159.80856,160.43339
1975-05-09,365,128.484,129.095393121389,129.35071131798,162.08866,162.72883
1975-05-10,365,128.617,129.232192984505,129.4890906372,162.40649,163.05121
1975-05-11,365,128.631,129.248451329841,129.506289299303,162.42159,163.06867
1975-05-12,365,128.763,129.38424693391,129.643665415484,162.73709,163.38871
1975-05-13,365,129.185,129.813324219936,130.075701074336,163.7912,164.45233
1975-05-14,365,129.608,130.243443805125,130.50879009638,164.85192,165.52266
1975-05-15,365,129.166,129.804247848394,130.070797919482,163.71466,164.38608
1975-05-16,365,128.476,129.116231496622,129.383622647685,161.95382,162.62373
1975-05-17,365,128.524,129.166878106308,129.435381654489,162.05583,162.72867
1975-05-18,365,128.705,129.352346493108,129.622711012003,162.49614,163.17452
1975-05-19,365,128.755,129.405032052982,129.67650777498,162.60323,163.28459
1975-05-20,365,128.559,129.21191760298,129.484632653695,162.09306,162.77643
1975-05-21,365,127.62,128.27375706015,128.546844722666,159.71304,160.39227
1975-05-22,365,128.044,128.704956984618,128.98104980809,160.76232,161.45123
1975-05-23,365,129.087,129.7596952652,130.040689288268,163.37247,164.07917
1975-05-24,365,129.251,129.927984735871,130.210769823527,163.77109,164.48311
1975-05-25,365,129.298,129.977649910579,130.26153816733,163.87109,164.58607
1975-05-26,365,129.243,129.924736110013,130.209509549709,163.71244,164.42925
1975-05-27,365,129.047,129.731583619896,130.017584268272,163.2003,163.91903
1975-05-28,365,127.981,128.665653937354,128.951693579156,160.49124,161.20408
1975-05-29,365,127.535,128.222205095717,128.509337469038,159.35986,160.07287
1975-05-30,365,128.705,129.404948364728,129.697405748291,162.27457,163.00729
1975-05-31,365,129.289,129.99776552362,130.293910275401,163.73568,164.48088
1975-06-01,365,129.88,130.597696184097,130.897556354147,165.22101,165.97891
1975-06-02,365,130.555,131.282342181642,131.586230160484,166.92655,167.69849
1975-06-03,365,131.332,132.069818219222,132.378070859366,168.90214,169.6897
1975-06-04,365,131.237,131.977099241868,132.286334211449,168.63876,169.42816
1975-06-05,365,131.516,132.261989274361,132.573689181991,169.3404,170.13769
1975-06-06,365,132.046,132.800553620624,133.115820104377,170.69282,171.50239
1975-06-07,365,131.913,132.670076024692,132.986431992396,170.33053,171.14198
1975-06-08,365,131.439,132.198477497636,132.5158607968,169.09277,169.90386
1975-06-09,365,130.88,131.64151695155,131.95978535217,167.64145,168.45126
1975-06-10,365,130.154,130.91679949641,131.235616968302,165.76987,166.57653
1975-06-11,365,130.181,130.946242545754,131.266076720579,165.81897,166.62827
1975-06-12,365,129.578,130.345003305306,130.665603271445,164.27024,165.07764
1975-06-13,365,129.982,130.756384329633,131.080064067054,165.28127,166.09888
1975-06-14,365,130.375,131.156665248278,131.483395578947,166.26719,167.0949
1975-06-15,365,130.761,131.549893529521,131.879654509413,167.238,168.07575
1975-06-16,365,131.074,131.869301162757,132.201745385188,168.02315,168.86963
1975-06-17,365,130.341,131.13737130173,131.470284969228,166.13043,166.97329
1975-06-18,365,130.241,131.03963102914,131.37350722604,165.85484,166.69938
1975-06-19,365,131.664,132.4781179942,132.818489533614,169.46904,170.33915
1975-06-20,365,132.582,133.408183600465,133.753593896513,171.82025,172.70923
1975-06-21,365,132.966,133.799532700006,134.148021981433,172.79961,173.69899
1975-06-22,365,133.31,134.15043754882,134.501820343265,173.67711,174.58619
1975-06-23,365,133.689,134.53678056917,134.891232412989,174.64682,175.56632
1975-06-24,365,134.102,134.957519461894,135.315217367451,175.7081,176.63875
1975-06-25,365,134.387,135.248754585641,135.609061807653,176.43429,177.37359
1975-06-26,365,134.417,135.281316924451,135.642700459561,176.48611,177.42827
1975-06-27,365,134.319,135.185585169954,135.54793539247,176.20171,177.14556
