date,days,pacific_us_price,pacific_us_ndtr_l1,pacific_us_gdtr_l1,pacific_us_ndtr_l2,pacific_us_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.453,100.458091535803,100.458592895363,100.88926,100.89026
1975-01-03,365,101.046,101.056569445143,101.057613640885,102.06469,102.06678
1975-01-04,365,100.944,100.959522864873,100.961151678703,101.84168,101.84496
1975-01-05,365,100.775,100.795825154027,100.79809703264,101.4845,101.48907
1975-01-06,365,100.665,100.690794548718,100.693656757297,101.24763,101.25338
1975-01-07,365,100.622,100.652458269791,100.655863671817,101.14674,101.15358
1975-01-08,365,99.95,99.9886611005989,99.9930981799908,99.79489,99.80376
1975-01-09,365,100.788,100.832635181099,100.837709255279,101.45621,101.46642
1975-01-10,365,102.251,102.302178141381,102.308028567675,104.38979,104.40171
1975-01-11,365,102.221,102.276858199036,102.28324878547,104.31376,104.32677
1975-01-12,365,102.112,102.172849894498,102.179837310544,104.07726,104.09147
1975-01-13,365,101.862,101.928599202447,101.936297768362,103.55525,103.57088
1975-01-14,365,101.192,101.266623456461,101.275337787199,102.18643,102.20402
1975-01-15,365,101.396,101.47513681732,101.484320536601,102.58354,102.6021
1975-01-16,365,101.723,101.807103795277,101.816772962417,103.23157,103.25118
1975-01-17,365,101.18,101.271475785474,101.282103342252,102.12206,102.1435
1975-01-18,365,100.869,100.966491788441,100.977878202022,101.48394,101.50684
1975-01-19,365,100.671,100.773802491635,100.785839999869,101.07372,101.09788
1975-01-20,365,100.549,100.656734654707,100.669360715685,100.81585,100.84116
1975-01-21,365,100.503,100.615374669273,100.62853573494,100.70969,100.73606
1975-01-22,365,101.319,101.437959625887,101.4518281579,102.33029,102.35827
1975-01-23,365,101.763,101.887599182073,101.902027131988,103.21411,103.24334
1975-01-24,365,103.309,103.441467557393,103.456830716955,106.33889,106.37047
1975-01-25,365,104.22,104.35950084941,104.375631247408,108.20227,108.23569
1975-01-26,365,104.945,105.091273820598,105.108103077353,109.69517,109.73027
1975-01-27,365,105.839,105.992467947091,106.010074885769,111.5511,111.58811
1975-01-28,365,107.002,107.163247106583,107.181721854882,113.98979,114.02904
