date,days,world_us_price,world_us_ndtr_l1,world_us_gdtr_l1,world_us_ndtr_l2,world_us_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.621,100.626572112543,100.628295934232,101.22821,101.23168
1975-01-03,365,101.384,101.395957612295,101.399498948616,102.75144,102.75859
1975-01-04,365,101.451,101.466287919669,101.47068244508,102.86889,102.87776
1975-01-05,365,101.451,101.468863558147,101.474014367816,102.84899,102.85939
1975-01-06,365,101.511,101.531707214873,101.537694806347,102.95272,102.96482
1975-01-07,365,101.638,101.662584247645,101.669600725146,103.196,103.21021
1975-01-08,365,101.129,101.159758109105,101.168449633086,102.15916,102.17668
1975-01-09,365,102.147,102.184054933371,102.194739999101,104.20609,104.22785
1975-01-10,365,103.801,103.845111096994,103.858108948556,107.57172,107.59852
1975-01-11,365,103.944,103.992777832825,104.006882206893,107.85469,107.88384
1975-01-12,365,104.008,104.059244682484,104.074218620496,107.96956,108.0005
1975-01-13,365,103.928,103.982725154291,103.998639644912,107.78762,107.82048
1975-01-14,365,103.419,103.479870183977,103.49744700768,106.72255,106.75871
1975-01-15,365,103.801,103.867388447704,103.886617245085,107.49925,107.53895
1975-01-16,365,104.31,104.382516143151,104.40355550223,108.54342,108.58704
1975-01-17,365,103.928,104.006530589023,104.029142109662,107.73918,107.7859
1975-01-18,365,103.783,103.865754647177,103.889508789006,107.42538,107.47442
1975-01-19,365,103.753,103.838162639461,103.862720462567,107.34624,107.39692
1975-01-20,365,103.801,103.889300595943,103.914701780867,107.42967,107.48208
1975-01-21,365,103.928,104.020302566403,104.046773880351,107.67792,107.7326
1975-01-22,365,104.946,105.045349016793,105.074044712409,109.77432,109.83413
1975-01-23,365,105.582,105.688201471055,105.718875624808,111.09501,111.15933
1975-01-24,365,107.363,107.477924231443,107.511350348518,114.83462,114.90578
1975-01-25,365,108.49,108.613405986841,108.649239353614,117.23728,117.31432
1975-01-26,365,109.427,109.557540868799,109.595679900438,119.25123,119.33391
1975-01-27,365,110.543,110.682008886529,110.722625907419,121.67391,121.76281
1975-01-28,365,111.942,112.090171949817,112.133499923931,124.74436,124.84034
1975-01-29,365,113.341,113.498498393157,113.544598284367,127.85457,127.95789
1975-01-30,365,113.341,113.501564171792,113.548511839501,127.83571,127.94093
1975-01-31,365,113.723,113.889841672235,113.93864592488,128.68474,128.79448
1975-02-01,365,114.075,114.248278286589,114.298900723077,129.46898,129.58314
1975-02-02,365,114.41,114.589838702563,114.642246636565,130.21718,130.33572
1975-02-03,365,114.613,114.798590356906,114.85244858515,130.66565,130.78767
1975-02-04,365,113.85,114.041227706912,114.096708683514,128.91605,129.04095
1975-02-05,365,115.249,115.450159617506,115.508579784136,132.08244,132.2155
1975-02-06,365,115.377,115.581497958662,115.641092262436,132.35849,132.49437
1975-02-07,365,116.14,116.352988177916,116.415004021988,134.10109,134.2434
1975-02-08,365,116.432,116.651839126005,116.715608263268,134.76529,134.91196
1975-02-09,365,116.622,116.84625177808,116.911435582592,135.18968,135.33986
1975-02-10,365,116.776,117.005143684587,117.07163376303,135.53171,135.68506
1975-02-11,365,116.903,117.136539689292,117.204221022638,135.81,135.96627
1975-02-12,365,118.302,118.546096288322,118.616889790548,139.05282,139.21816
1975-02-13,365,120.211,120.465984897725,120.540397984461,143.53062,143.70709
1975-02-14,365,120.719,120.982659898376,121.059305482725,144.73493,144.91746
1975-02-15,365,120.757,121.024158431751,121.101764647768,144.80713,144.99196
1975-02-16,365,120.608,120.879422926277,120.95824269908,144.43363,144.62112
1975-02-17,365,120.338,120.614036057209,120.69433115307,143.77238,143.96294
1975-02-18,365,119.447,119.729073586087,119.810864776865,141.63596,141.82868
1975-02-19,365,120.338,120.628855589044,120.71340869572,143.73819,143.93885
1975-02-20,365,121.355,121.656371961407,121.743853578863,146.16045,146.36977
1975-02-21,365,121.991,122.301040817431,122.391027638922,147.68271,147.89911
1975-02-22,365,121.971,122.28387630131,122.374791785988,147.61421,147.83276
1975-02-23,365,121.724,122.041900832729,122.134228626235,147.00295,147.22446
1975-02-24,365,121.355,121.679024125179,121.772901962619,146.10239,146.32696
1975-02-25,365,120.211,120.538852401211,120.634007564379,143.33829,143.56378
1975-02-26,365,121.228,121.566676312497,121.664851281166,145.75516,145.98971
1975-02-27,365,122.5,122.849940130821,122.951480308461,148.80617,149.05122
1975-02-28,365,123.518,123.878013917482,123.982648077584,151.26978,151.52432
1975-03-01,365,123.9,124.267300530015,124.374070063272,152.19309,152.4536
1975-03-02,365,124.281,124.656625584913,124.765541903166,153.11913,153.38566
1975-03-03,365,124.663,125.045989082176,125.157055288231,154.04793,154.32054
1975-03-04,365,125.044,125.435391021805,125.548618527501,154.9801,155.25884
1975-03-05,365,124.536,124.932238123159,125.047051983728,153.71324,153.99472
1975-03-06,365,125.68,126.088478755836,126.206685731469,156.53214,156.82453
1975-03-07,365,126.189,126.605989877933,126.726665095151,157.78993,158.0896
1975-03-08,365,126.529,126.953326259297,127.076093221714,158.62834,158.934
1975-03-09,365,126.779,127.209765667835,127.334346315396,159.24168,159.55245
1975-03-10,365,126.825,127.259827238088,127.385438567031,159.33984,159.65326
1975-03-11,365,126.062,126.501791846701,126.628834525832,157.41559,157.7307
1975-03-12,365,125.299,125.743669959992,125.872122467188,155.50938,155.82607
1975-03-13,365,125.172,125.620587116791,125.750187389495,155.17923,155.49838
1975-03-14,365,125.808,126.266168978991,126.398516405316,156.74874,157.07629
1975-03-15,365,126.209,126.676243300577,126.810885466361,157.74118,158.07543
1975-03-16,365,126.507,126.980937488197,127.11758022975,158.47412,158.81411
1975-03-17,365,126.571,127.048653714729,127.186387342416,158.61689,158.95972
1975-03-18,365,125.808,126.290339616193,126.429434321779,156.69745,157.04158
1975-03-19,365,125.172,125.659481179915,125.800000049854,155.10835,155.45426
1975-03-20,365,124.154,124.645756006115,124.787344809051,152.58023,152.92594
1975-03-21,365,123.645,124.142161020268,124.285188323846,151.32193,151.66974
1975-03-22,365,122.854,123.355303465474,123.499560825994,149.37852,149.72708
1975-03-23,365,121.718,122.223195027634,122.368310739269,146.61181,146.9592
1975-03-24,365,120.974,121.482939230213,121.629271996486,144.81085,145.15902
1975-03-25,365,121.483,122.000719448867,122.149616957675,146.02177,146.37746
1975-03-26,365,123.263,123.797208065554,123.95079124025,150.29757,150.66967
1975-03-27,365,123.9,124.443164740816,124.599618798126,151.8411,152.22204
1975-03-28,365,123.9,124.446528447783,124.603922877871,151.82319,152.20636
1975-03-29,365,123.932,124.482481669959,124.640873153203,151.88481,152.27046
1975-03-30,365,124.001,124.555099298071,124.71458259608,152.03588,152.42437
1975-03-31,365,124.027,124.584459654593,124.744918880145,152.08283,152.47374
1975-04-01,365,123.263,123.825463204073,123.987085101877,150.20466,150.59597
1975-04-02,365,123.263,123.828807689857,123.991364254518,150.18769,150.58121
1975-04-03,365,122.373,122.941990374608,123.10552980355,148.01199,148.40503
1975-04-04,365,121.355,121.92734258404,122.091686370849,145.54538,145.93707
1975-04-05,365,121.139,121.715832689984,121.88141794999,145.01731,145.41121
1975-04-06,365,121.039,121.6189002658,121.785490149515,144.76329,145.15922
1975-04-07,365,121.101,121.684713595248,121.8523612572,144.89649,145.29511
1975-04-08,365,121.483,122.074634506809,122.244614146314,145.80221,146.20758
1975-04-09,365,123.136,123.744311370858,123.919083965533,149.76775,150.19004
1975-04-10,365,123.9,124.518655935737,124.696660009191,151.61809,152.0508
1975-04-11,365,124.408,125.036983958097,125.217702929259,152.8557,153.29674
1975-04-12,365,124.85,125.48741315269,125.670686549742,153.93212,154.38092
1975-04-13,365,125.231,125.877007304146,126.062665240726,154.86288,155.31888
1975-04-14,365,125.68,126.335845766155,126.524099149047,155.96638,156.43036
1975-04-15,365,126.571,127.238530167694,127.430382133316,158.16943,158.64551
1975-04-16,365,127.334,128.013316819775,128.208523191304,160.06866,160.55592
1975-04-17,365,128.606,129.300174999258,129.499772041645,163.25993,163.76298
1975-04-18,365,128.097,128.796051430887,128.996950833699,161.95951,162.46382
1975-04-19,365,128.124,128.826180634716,129.028101403122,162.00814,162.51505
1975-04-20,365,128.331,129.039747195317,129.243463261979,162.51815,163.03032
1975-04-21,365,128.606,129.322490792333,129.528305265277,163.20316,163.72165
1975-04-22,365,128.988,129.713017171147,129.921314276508,164.16251,164.68876
1975-04-23,365,128.606,129.336157053208,129.545779164316,163.1811,163.7091
1975-04-24,365,128.097,128.831898936559,129.04278346665,161.88144,162.4105
1975-04-25,365,128.225,128.963996514431,129.176293029061,162.18674,162.71981
1975-04-26,365,128.187,128.930023074069,129.143272926931,162.07455,162.60979
1975-04-27,365,128.039,128.786450450146,129.000822843662,161.68687,162.22425
1975-04-28,365,127.843,128.594200181121,128.809773219035,161.17736,161.71687
1975-04-29,365,127.589,128.344276753508,128.56110044185,160.52433,161.06585
1975-04-30,365,128.861,129.631903780297,129.853338067267,163.71195,164.27032
1975-05-01,365,129.878,130.663533485751,130.889075805231,166.29029,166.8634
1975-05-02,365,131.278,132.079519570384,132.310020371259,169.86691,170.45876
1975-05-03,365,131.514,132.323253777179,132.555751750319,170.46576,171.06374
1975-05-04,365,131.645,132.459801058837,132.693764809296,170.78937,171.39166
1975-05-05,365,131.659,132.477061680871,132.712052993691,170.806,171.41091
1975-05-06,365,130.133,130.94968884269,131.184353955553,166.83984,167.43688
1975-05-07,365,130.769,131.597240876113,131.83523384489,168.46382,169.07219
1975-05-08,365,131.659,132.5012034863,132.743153708908,170.75093,171.37351
1975-05-09,365,132.55,133.405281423582,133.651214826508,173.05395,173.69096
1975-05-10,365,132.633,133.492737804712,133.739930385249,173.25342,173.89402
1975-05-11,365,132.594,133.457985906452,133.706162470037,173.13575,173.77864
1975-05-12,365,132.677,133.544731103824,133.794171760866,173.33331,173.97979
1975-05-13,365,133.058,133.935795675753,134.18787042194,174.32155,174.97667
1975-05-14,365,133.44,134.326889079456,134.581610628185,175.31335,175.97717
1975-05-15,365,132.931,133.822352255659,134.078257642047,173.96931,174.63365
1975-05-16,365,132.168,133.062192923587,133.318928237613,171.96596,172.6286
1975-05-17,365,132.164,133.062260197726,133.320000103032,171.93954,172.60467
1975-05-18,365,132.296,133.199384114865,133.458628030544,172.26731,172.93691
