"date","eu_rate","sim_price","sim_gdtr_l1","sim_ndtr_l1","sim_gdtr_l2","sim_ndtr_l2","letf_acwi_eur_sim"
1988-01-01,3.038,100,100,100,100,100,100
1988-01-02,3.153,99.9783173466051,99.982925997189,99.9819499663988,99.95574,99.95379,99.9512065899172
1988-01-03,3.236,99.9419581417022,99.9511945616928,99.9492082854679,99.88195,99.87798,99.8728163997569
1988-01-04,3.27,99.8825390451621,99.8964392588261,99.8934850879366,99.7621,99.75619,99.7484525717797
1988-01-05,3.27,101.53343767975,101.553243206533,101.549040034511,103.06084,103.05235,103.041779998857
1988-01-06,3.25,105.773085785361,105.803588900298,105.797124826725,111.67703,111.66359,111.649474758787
1988-01-07,3.22,105.673571275146,105.713879218356,105.705345465846,111.47615,111.45836,111.441386337841
1988-01-08,3.05,103.561002069789,103.609707542873,103.599417644118,107.02746,107.00631,106.987135339284
1988-01-09,3.05,103.234912062829,103.288234619028,103.276983620859,106.35278,106.32971,106.307892664061
1988-01-10,3.05,102.609808947102,102.667548995543,102.655366423412,105.06412,105.03928,105.014981073026
1988-01-11,3.05,102.276759119394,102.339049946049,102.325894826388,104.38145,104.3547,104.327846470548
1988-01-12,3.1,102.204955575347,102.272035636373,102.25787233462,104.23434,104.20555,104.176039635119
1988-01-13,3.15,101.302418390954,101.375139176533,101.359784833518,102.3956,102.36464,102.332959675091
1988-01-14,3.17,102.530517599239,102.612070842052,102.594847746761,104.88396,104.84885,104.813757169257
1988-01-15,3.22,101.496832027846,101.586228131761,101.567405992252,102.77604,102.73802,102.700925893289
1988-01-16,3.215,102.559995172365,102.655884486131,102.635673626672,104.92984,104.88862,104.848096221685
1988-01-17,3.209,104.675308292313,104.781539271289,104.759138188005,109.26455,109.218,109.173094906957
1988-01-18,3.2,105.786946707939,105.90000143567,105.876147770832,111.58599,111.53592,111.487241503023
1988-01-19,3.18,105.537112720788,105.657600260085,105.632204088292,111.06379,111.01059,110.95926060428
1988-01-20,3.12,103.376276482802,103.503564148784,103.476792805613,106.52415,106.46915,106.417053955636
1988-01-21,3,103.192825726248,103.324967106122,103.297161300243,106.1462,106.08917,106.034510693408
1988-01-22,3.02,104.60352134385,104.747401535032,104.717102391903,109.0584,108.99547,108.936574002065
1988-01-23,3.031,105.452941122488,105.607661194122,105.575111486034,110.83906,110.77093,110.708260349
1988-01-24,3.039,106.252439074299,106.417829116573,106.382988489918,112.5288,112.45535,112.388867324859
1988-01-25,3.05,106.805852955315,106.979785832682,106.9431504539,113.70618,113.62856,113.558480267456
1988-01-26,3.08,106.957610550414,107.136785942633,107.099033995591,114.02865,113.94855,113.875339234314
1988-01-27,3,106.624857893718,106.811002449078,106.771827454275,113.32412,113.24123,113.165531813108
1988-01-28,3.02,107.352841684304,107.550759065041,107.509093473188,114.8828,114.79407,114.714410258837
1988-01-29,3.1,108.392383014894,108.599208125334,108.555644662303,117.11119,117.01756,116.933393755373
1988-01-30,3.164,108.634544176504,108.8475070137,108.802645230133,117.63483,117.53819,117.45062841709
1988-01-31,3.22,108.529143205924,108.749625857364,108.703196880729,117.41115,117.31122,117.220793269927
1988-02-01,3.25,108.473826034087,108.699928868734,108.652319208165,117.29165,117.18923,117.095869009398
1988-02-02,3.25,108.432393484479,108.663666756403,108.614982703078,117.20122,117.09653,117.000217794099
1988-02-03,3.18,107.711396323779,107.949188423682,107.899167321988,115.64805,115.54118,115.443124478168
1988-02-04,3.18,108.157785608345,108.401636326982,108.350316729304,116.6057,116.49561,116.393762119445
1988-02-05,3.28,107.610433609582,107.859692955184,107.807251935554,115.42759,115.31564,115.211816796171
1988-02-06,3.306,107.619655897467,107.874425674231,107.820836317111,115.44696,115.33256,115.225745168739
1988-02-07,3.324,107.830368382334,108.09093071608,108.036110610601,115.89815,115.7809,115.670693186758
1988-02-08,3.35,107.939674668487,108.205635441711,108.149661738554,116.13178,116.01194,115.89852502146
1988-02-09,3.48,107.953938186352,108.225002396527,108.167960941201,116.16057,116.03843,115.921994990265
1988-02-10,3.3,108.603875382226,108.887127638401,108.827500612278,117.56971,117.44129,117.320452595262
1988-02-11,3.23,108.871238121538,109.161011036488,109.099975028301,118.14901,118.01724,117.892779121796
1988-02-12,3.3,109.018734469759,109.315803371169,109.25326287364,118.47166,118.33647,118.208626808174
1988-02-13,3.326,109.364958413399,109.668219299258,109.604335464235,119.22299,119.08446,118.952754913793
1988-02-14,3.344,109.924978281033,110.236668176012,110.171012643114,120.44625,120.30317,120.167044006879
1988-02-15,3.37,110.6164143029,110.937650170378,110.86997124379,121.96516,121.81677,121.675826923753
1988-02-16,3.45,111.718188777243,112.052697063993,111.98218876555,124.40361,124.24753,124.100631127434
1988-02-17,3.43,111.998620943795,112.341302709309,112.269084069194,125.03092,124.87066,124.719818367513
1988-02-18,3.4,111.99566638243,112.346308083145,112.272382519617,125.02857,124.86452,124.710463760166
1988-02-19,3.38,112.870135388198,113.232947386161,113.15643402761,126.9886,126.81753,126.657842378835
1988-02-20,3.389,113.386980586046,113.759792836634,113.681168801814,128.15663,127.98005,127.815626451463
1988-02-21,3.411,113.765630285797,114.147276050666,114.066749866098,129.01581,128.83436,128.665536867037
1988-02-22,3.42,114.03813583463,114.427555566197,114.345371520322,129.63539,129.44978,129.276826468964
1988-02-23,3.4,113.750312886513,114.14510858124,114.0617979297,128.98144,128.79375,128.618333218184
1988-02-24,3.3,113.967306724319,114.368456856675,114.283765401733,129.47263,129.28148,129.102076192093
1988-02-25,3.3,114.765549742038,115.176093190681,115.089398529693,131.28761,131.0906,130.905350441641
1988-02-26,3.48,114.140566958517,114.554302689497,114.466935997821,129.85562,129.65815,129.471542874065
1988-02-27,3.372,114.343050111654,114.763451362882,114.674641225891,130.31588,130.1148,129.924190871516
1988-02-28,3.109,114.661318427608,115.089605313182,114.999111659055,131.04356,130.83812,130.643094783398
1988-02-29,3,115.04477289529,115.481639661258,115.389330483158,131.92361,131.71336,131.513655117719
1988-03-01,3.25,115.630047738584,116.077044455721,115.982587869948,133.27027,133.05406,132.8489248003
1988-03-02,3.25,116.564109186551,117.022233730657,116.925388538856,135.42682,135.20339,134.991509052749
1988-03-03,3.28,116.42526802449,116.888437201897,116.79052186031,135.10297,134.87735,134.662492614735
1988-03-04,3.32,116.473760901771,116.942507996187,116.843404162507,135.21368,134.98523,134.76672187927
1988-03-05,3.344,116.4910459521,116.965602788406,116.865262313425,135.2527,135.02138,134.799331784167
1988-03-06,3.363,116.377133642531,116.857255100564,116.755710518612,134.98767,134.7538,134.52870941096
1988-03-07,3.37,116.108651460142,116.593410560218,116.490889988296,134.36366,134.12809,133.900569158678
1988-03-08,3.35,115.314512403915,115.801451158893,115.698444762806,132.52402,132.28895,132.061089682311
1988-03-09,3.3,115.481857322153,115.977339468554,115.872509534741,132.91266,132.67309,132.441156343139
1988-03-10,3.25,115.08591914609,115.588134233699,115.481904674528,132.00679,131.76484,131.531072610367
1988-03-11,3.28,114.380891582855,114.885615498577,114.778865535488,130.38836,130.14672,129.912425371661
1988-03-12,3.299,114.283772542913,114.793361800405,114.685571736777,130.16525,129.92146,129.684214721811
1988-03-13,3.314,114.230933037342,114.745567988288,114.636690467593,130.04312,129.797,129.556631719019
1988-03-14,3.32,114.216918156556,114.736758602054,114.626789167006,130.00941,129.76086,129.517211666823
1988-03-15,3.3,114.957842426258,115.486994680471,115.375021116223,131.69593,131.44125,131.19110048487
1988-03-16,3.3,116.123530492992,116.668263144444,116.552980843097,134.37621,134.11142,133.852799605626
1988-03-17,3.3,116.993710269871,117.550652614213,117.432775864939,136.39472,136.12198,135.856024476019
1988-03-18,3.3,118.597846453707,119.170005620942,119.048925105671,140.13826,139.85438,139.577622383712
1988-03-19,3.3,118.646051159655,119.22399556681,119.101646842279,140.2505,139.96354,139.682960504787
1988-03-20,3.3,118.664165425974,119.247700274037,119.124161223515,140.29152,140.00174,139.717475343039
1988-03-21,3.3,118.659146680032,119.248148610297,119.123457975716,140.27783,139.98536,139.697519126245
1988-03-22,3.28,118.376398143167,118.971992055797,118.845922685896,139.61344,139.31844,139.028361501535
1988-03-23,3.25,118.890721040817,119.496715063219,119.368451043539,140.83047,140.52906,140.232869165863
1988-03-24,3.25,117.304524078986,117.913498544389,117.784634739452,137.08411,136.78531,136.493387017299
1988-03-25,3.25,115.70260599872,116.314693351354,116.185225327906,133.3524,133.05627,132.768779235338
1988-03-26,3.237,115.323455722071,115.93891686333,115.808739998357,132.47697,132.18019,131.891162193568
1988-03-27,3.213,114.849622872999,115.467897760543,115.337124590598,131.38693,131.09004,130.799988647443
1988-03-28,3.2,114.497682019048,115.119378626399,114.98788895001,130.58034,130.28274,129.991095788751
1988-03-29,3.25,115.628512124695,116.267830587481,116.132605050022,133.17217,132.86317,132.562391168385
1988-03-30,2.75,116.183683933587,116.832549237616,116.695282390472,134.45382,134.13867,133.831579030706
1988-03-31,2.75,115.844863831235,116.499883583201,116.361281757158,133.67602,133.35873,133.049967171357
1988-04-01,2.808,115.89344726703,116.554108876321,116.41431891936,133.7882,133.46807,133.155616792352
1988-04-02,2.949,115.862780683235,116.528800449975,116.387874800106,133.71731,133.39468,133.078958645162
