Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
31.12.1987;100,00;100,00;100,00;100,00;Pkt.;0
29.01.1988;102,33;102,33;102,33;102,33;Pkt.;0
29.02.1988;108,07;108,07;108,07;108,07;Pkt.;0
31.03.1988;111,22;111,22;111,22;111,22;Pkt.;0
29.04.1988;112,45;112,45;112,45;112,45;Pkt.;0
31.05.1988;110,04;110,04;110,04;110,04;Pkt.;0
30.06.1988;109,75;109,75;109,75;109,75;Pkt.;0
29.07.1988;111,59;111,59;111,59;111,59;Pkt.;0
31.08.1988;105,28;105,28;105,28;105,28;Pkt.;0
30.09.1988;109,62;109,62;109,62;109,62;Pkt.;0
31.10.1988;116,60;116,60;116,60;116,60;Pkt.;0
30.11.1988;120,31;120,31;120,31;120,31;Pkt.;0
30.12.1988;121,20;121,20;121,20;121,20;Pkt.;0
31.01.1989;125,37;125,37;125,37;125,37;Pkt.;0
28.02.1989;124,41;124,41;124,41;124,41;Pkt.;0
31.03.1989;123,49;123,49;123,49;123,49;Pkt.;0
28.04.1989;126,37;126,37;126,37;126,37;Pkt.;0
31.05.1989;123,16;123,16;123,16;123,16;Pkt.;0
30.06.1989;121,23;121,23;121,23;121,23;Pkt.;0
31.07.1989;134,69;134,69;134,69;134,69;Pkt.;0
31.08.1989;131,30;131,30;131,30;131,30;Pkt.;0
29.09.1989;135,04;135,04;135,04;135,04;Pkt.;0
31.10.1989;130,46;130,46;130,46;130,46;Pkt.;0
30.11.1989;135,36;135,36;135,36;135,36;Pkt.;0
29.12.1989;139,57;139,57;139,57;139,57;Pkt.;0
31.01.1990;132,91;132,91;132,91;132,91;Pkt.;0
28.02.1990;127,09;127,09;127,09;127,09;Pkt.;0
30.03.1990;119,00;119,00;119,00;119,00;Pkt.;0
30.04.1990;117,24;117,24;117,24;117,24;Pkt.;0
31.05.1990;129,24;129,24;129,24;129,24;Pkt.;0
29.06.1990;128,12;128,12;128,12;128,12;Pkt.;0
31.07.1990;129,16;129,16;129,16;129,16;Pkt.;0
31.08.1990;116,75;116,75;116,75;116,75;Pkt.;0
28.09.1990;104,28;104,28;104,28;104,28;Pkt.;0
31.10.1990;113,61;113,61;113,61;113,61;Pkt.;0
30.11.1990;111,44;111,44;111,44;111,44;Pkt.;0
31.12.1990;113,56;113,56;113,56;113,56;Pkt.;0
31.01.1991;117,50;117,50;117,50;117,50;Pkt.;0
28.02.1991;128,28;128,28;128,28;128,28;Pkt.;0
29.03.1991;124,44;124,44;124,44;124,44;Pkt.;0
30.04.1991;125,21;125,21;125,21;125,21;Pkt.;0
31.05.1991;127,94;127,94;127,94;127,94;Pkt.;0
28.06.1991;119,88;119,88;119,88;119,88;Pkt.;0
31.07.1991;125,34;125,34;125,34;125,34;Pkt.;0
30.08.1991;124,82;124,82;124,82;124,82;Pkt.;0
30.09.1991;127,74;127,74;127,74;127,74;Pkt.;0
31.10.1991;129,70;129,70;129,70;129,70;Pkt.;0
29.11.1991;123,85;123,85;123,85;123,85;Pkt.;0
31.12.1991;132,78;132,78;132,78;132,78;Pkt.;0
31.01.1992;130,53;130,53;130,53;130,53;Pkt.;0
28.02.1992;128,29;128,29;128,29;128,29;Pkt.;0
31.03.1992;122,31;122,31;122,31;122,31;Pkt.;0
30.04.1992;123,67;123,67;123,67;123,67;Pkt.;0
29.05.1992;128,13;128,13;128,13;128,13;Pkt.;0
30.06.1992;123,28;123,28;123,28;123,28;Pkt.;0
31.07.1992;123,39;123,39;123,39;123,39;Pkt.;0
31.08.1992;125,87;125,87;125,87;125,87;Pkt.;0
30.09.1992;124,52;124,52;124,52;124,52;Pkt.;0
30.10.1992;121,22;121,22;121,22;121,22;Pkt.;0
30.11.1992;122,98;122,98;122,98;122,98;Pkt.;0
31.12.1992;123,88;123,88;123,88;123,88;Pkt.;0
29.01.1993;124,06;124,06;124,06;124,06;Pkt.;0
26.02.1993;126,73;126,73;126,73;126,73;Pkt.;0
31.03.1993;133,75;133,75;133,75;133,75;Pkt.;0
30.04.1993;139,54;139,54;139,54;139,54;Pkt.;0
31.05.1993;142,54;142,54;142,54;142,54;Pkt.;0
30.06.1993;141,35;141,35;141,35;141,35;Pkt.;0
30.07.1993;144,01;144,01;144,01;144,01;Pkt.;0
31.08.1993;150,58;150,58;150,58;150,58;Pkt.;0
30.09.1993;147,80;147,80;147,80;147,80;Pkt.;0
29.10.1993;151,92;151,92;151,92;151,92;Pkt.;0
30.11.1993;143,76;143,76;143,76;143,76;Pkt.;0
31.12.1993;151,28;151,28;151,28;151,28;Pkt.;0
31.01.1994;161,05;161,05;161,05;161,05;Pkt.;0
28.02.1994;158,47;158,47;158,47;158,47;Pkt.;0
31.03.1994;151,07;151,07;151,07;151,07;Pkt.;0
29.04.1994;154,90;154,90;154,90;154,90;Pkt.;0
31.05.1994;155,54;155,54;155,54;155,54;Pkt.;0
30.06.1994;154,50;154,50;154,50;154,50;Pkt.;0
29.07.1994;157,66;157,66;157,66;157,66;Pkt.;0
31.08.1994;163,00;163,00;163,00;163,00;Pkt.;0
30.09.1994;158,89;158,89;158,89;158,89;Pkt.;0
31.10.1994;162,68;162,68;162,68;162,68;Pkt.;0
30.11.1994;155,33;155,33;155,33;155,33;Pkt.;0
30.12.1994;155,60;155,60;155,60;155,60;Pkt.;0
31.01.1995;152,15;152,15;152,15;152,15;Pkt.;0
28.02.1995;153,49;153,49;153,49;153,49;Pkt.;0
31.03.1995;160,21;160,21;160,21;160,21;Pkt.;0
28.04.1995;165,73;165,73;165,73;165,73;Pkt.;0
01.05.1995;165,79;165,79;165,79;165,79;Pkt.;0
02.05.1995;167,22;167,22;167,22;167,22;Pkt.;0
03.05.1995;168,36;168,36;168,36;168,36;Pkt.;0
04.05.1995;168,66;168,66;168,66;168,66;Pkt.;0
05.05.1995;167,98;167,98;167,98;167,98;Pkt.;0
08.05.1995;169,36;169,36;169,36;169,36;Pkt.;0
09.05.1995;169,26;169,26;169,26;169,26;Pkt.;0
10.05.1995;168,70;168,70;168,70;168,70;Pkt.;0
11.05.1995;167,22;167,22;167,22;167,22;Pkt.;0
12.05.1995;166,53;166,53;166,53;166,53;Pkt.;0
15.05.1995;166,62;166,62;166,62;166,62;Pkt.;0
16.05.1995;166,63;166,63;166,63;166,63;Pkt.;0
17.05.1995;166,75;166,75;166,75;166,75;Pkt.;0
18.05.1995;164,47;164,47;164,47;164,47;Pkt.;0
19.05.1995;164,19;164,19;164,19;164,19;Pkt.;0
22.05.1995;163,78;163,78;163,78;163,78;Pkt.;0
23.05.1995;165,30;165,30;165,30;165,30;Pkt.;0
24.05.1995;165,93;165,93;165,93;165,93;Pkt.;0
25.05.1995;167,40;167,40;167,40;167,40;Pkt.;0
26.05.1995;167,83;167,83;167,83;167,83;Pkt.;0
29.05.1995;167,27;167,27;167,27;167,27;Pkt.;0
30.05.1995;167,51;167,51;167,51;167,51;Pkt.;0
31.05.1995;167,24;167,24;167,24;167,24;Pkt.;0
01.06.1995;167,60;167,60;167,60;167,60;Pkt.;0
02.06.1995;168,98;168,98;168,98;168,98;Pkt.;0
05.06.1995;169,54;169,54;169,54;169,54;Pkt.;0
06.06.1995;168,46;168,46;168,46;168,46;Pkt.;0
07.06.1995;168,56;168,56;168,56;168,56;Pkt.;0
08.06.1995;167,08;167,08;167,08;167,08;Pkt.;0
09.06.1995;166,16;166,16;166,16;166,16;Pkt.;0
12.06.1995;165,74;165,74;165,74;165,74;Pkt.;0
13.06.1995;165,98;165,98;165,98;165,98;Pkt.;0
